run,sampled_lumi_MB,prescale_MB,livetime_MB,nevents_MB,sampled_lumi_HT2,prescale_HT2,livetime_HT2,nevents_HT2
15098071,0.0028693333333333,824.97198486,0.9237138031373,17216.0,2.24626035159613,1.0,0.876551264610344,63145.0
15098072,0.0039166666666666,753.46136475,0.932613886692132,23500.0,2.81283361438207,1.0,0.888931552022044,78714.0
15098073,0.0036235,786.7119751,0.928956373247125,21741.0,2.71141207512629,1.0,0.883581914268937,75237.0
15098074,0.0005916666666666,733.54266357,0.907407129910966,3550.0,0.414160208167128,1.0,0.865900672764381,11455.0
15098075,7.85e-05,717.25201416,0.70942948552101,471.0,0.0544190578302896,1.0,0.685675797036372,1527.0
15098076,0.003435,713.98138428,0.868103468975348,20610.0,2.3480556384632,1.0,0.831124807395994,64728.0
15098077,0.003633,672.96801758,0.901566663353884,21798.0,0.204270591165459,1.0,0.0753258198910373,5641.0
15099001,0.0009381666666666,653.90667725,0.935925325558815,5629.0,0.0,1.0,0.0,0.0
15099002,0.0008165,647.08532715,0.78144020377814,4899.0,0.508143429992877,1.0,0.751561154177433,13961.0
15099003,0.0026928333333333,636.04669189,0.788958256110306,16157.0,1.62983613946639,1.0,0.750757182778066,44864.0
15100009,0.0051023333333333,728.59197998,0.876399870450997,30614.0,3.45902274783848,1.0,0.815459710940777,106916.0
15100010,0.0040348333333333,934.64807129,0.884038394807987,24209.0,3.57136541167317,1.0,0.837204784071745,107729.0
15100011,0.0033573333333333,1035.70935059,0.861860241693311,20144.0,3.34638001926555,1.0,0.829430011956622,99199.0
15100012,0.0020016666666666,1035.64941406,0.816352332199321,12010.0,1.9926520102904,1.0,0.78470167321246,58341.0
15100024,0.0033586666666666,797.43865967,0.894830052858387,20152.0,2.54400651904285,1.0,0.849952373208187,73169.0
15100025,0.0034826666666666,736.50268555,0.918736449149813,20896.0,2.43026344398954,1.0,0.870478515870818,69163.0
15100026,0.0006188333333333,679.27337646,0.896436929821848,3713.0,0.111775926680115,1.0,0.238368973710432,3110.0
15100027,0.0035966666666666,662.63598633,0.932720861572485,21580.0,2.27964769183346,1.0,0.892163017961457,65367.0
15100028,0.0013958333333333,608.56530762,0.916732444794941,8375.0,0.812689611474452,1.0,0.877054445158121,23212.0
15100029,0.0030176666666666,603.25073242,0.751365925697246,18106.0,1.7211838226523,1.0,0.710410919122985,48926.0
15100030,0.0018101666666666,559.53735352,0.818222201396121,10861.0,0.952599332818764,1.0,0.769544758773173,27148.0
15100031,0.0005833333333333,540.02801514,0.796070144521233,3500.0,0.294791548923943,1.0,0.744960560911481,8500.0
15100032,0.0033888333333333,526.07196045,0.811819496848615,20333.0,1.65429975844881,1.0,0.753317954875814,47679.0
15100033,0.0012753333333333,492.77334595,0.790958126679115,7652.0,0.592799402415586,1.0,0.746088472434081,17117.0
15100035,0.0016855,453.98669434,0.783072096035942,10113.0,0.71673582116853,1.0,0.733481184215158,20836.0
15100036,0.0035681666666666,441.8119812,0.82105575023987,21409.0,1.4777725873447,1.0,0.769657724329325,42432.0
15100037,0.0038108333333333,413.27334595,0.845775642887544,22865.0,1.47297893743229,1.0,0.791032558139535,42518.0
15100038,0.0038706666666666,406.67599487,0.852254117370182,23224.0,1.47811152559598,1.0,0.800280069638937,42289.0
15100039,0.0027576666666666,386.04931641,0.863554370719047,16546.0,1.01113803913914,1.0,0.820192092919366,29375.0
15100040,0.0005143333333333,229.64265442,0.78905063150157,3086.0,0.112007630733295,1.0,0.748264692272096,3234.0
15100100,0.0015226666666666,65.8239975,0.940862410788193,9136.0,0.0976803043057124,1.0,0.916946564885496,3003.0
15100101,0.0072375,65.58799744,0.95862314098991,43425.0,0.458087898458913,1.0,0.925089559877175,14461.0
15100102,0.0021195,61.68133545,0.950434032405814,12717.0,0.126134529199426,1.0,0.916998827667057,3911.0
15100103,0.0012591666666666,60.49333572,0.936696563258346,7555.0,0.0730530232297879,1.0,0.898351648351648,2289.0
15100124,0.0040831666666666,1012.38275146,0.86572716695865,24499.0,3.93035208860752,1.0,0.82313422328307,122767.0
15101001,0.0037668333333333,1127.04528809,0.885832170279255,22601.0,4.07364957231013,1.0,0.849996901615979,123451.0
15101002,0.0031388333333333,1207.58666992,0.882634553125706,18833.0,3.65042957968015,1.0,0.850037985886481,108532.0
15101003,0.0030248333333333,1128.82397461,0.862555165938419,18149.0,3.30701766231871,1.0,0.835402402846529,96016.0
15101004,0.003059,1038.08398438,0.918800724108066,18354.0,3.06557327242566,1.0,0.886994775914215,87102.0
15101005,0.0032426666666666,875.1239624,0.898601989855972,19456.0,2.71338268628447,1.0,0.859224283305228,76427.0
15101006,0.0031905,847.12530518,0.89270776884232,19143.0,2.57640147046005,1.0,0.850974308346849,72406.0
15101007,0.0031671666666666,816.46136475,0.922004313149639,19003.0,2.46061821430448,1.0,0.877345455015044,67939.0
15101008,0.0010496666666666,735.59197998,0.909399542952762,6298.0,0.737647804643639,1.0,0.868791162099002,20447.0
15101009,0.0032415,706.76800537,0.886772264623738,19449.0,2.17742593935667,1.0,0.842815640594376,60633.0
15101010,0.003176,672.0,0.8796217673895,19056.0,2.04619292278822,1.0,0.843320736608482,56234.0
15101011,0.0029108333333333,633.90533447,0.823769137103135,17465.0,1.76725021797372,1.0,0.788972406925573,49095.0
15101012,0.002843,594.52935791,0.836968946568197,17058.0,1.60293555930373,1.0,0.79373447468592,44415.0
15101013,0.0029751666666666,552.02667236,0.827445575049584,17851.0,1.53627879382013,1.0,0.773994922852565,42990.0
15101014,0.0031388333333333,524.11999512,0.866543872061377,18833.0,1.5330628190045,1.0,0.807516717497964,42628.0
15101015,0.0012558333333333,491.95333862,0.862989835887865,7535.0,0.580105709127734,1.0,0.810320641282565,16174.0
15101016,0.0031521666666666,474.87600708,0.862416526291469,18913.0,1.40831412367863,1.0,0.811385430686406,38583.0
15101017,0.0011646666666666,440.83068848,0.837584445153167,6988.0,0.479528115274999,1.0,0.782292582820287,13341.0
15101018,0.0034078333333333,430.58135986,0.889643725817323,20447.0,1.38317056159487,1.0,0.838606618781122,38061.0
15101019,0.0014373333333333,401.97866821,0.880157512145031,8624.0,0.54202067024219,1.0,0.825687565713021,14921.0
15101020,0.0033118333333333,386.73733521,0.862874969808381,19871.0,1.21328847938084,1.0,0.817386332562707,32881.0
15101021,0.0035935,366.16265869,0.899564578650396,21561.0,1.24132109520574,1.0,0.848642505366839,33602.0
15101022,0.0004846666666666,348.14932251,0.653096939584611,2908.0,0.156034001297397,1.0,0.603932203389831,4309.0
15101023,0.003458,344.33734131,0.892538827193378,20748.0,1.1235015651352,1.0,0.84215433554544,30710.0
15101040,0.003677,970.04003906,0.8949478847256,22062.0,3.39779927319799,1.0,0.852534915843864,99987.0
15101041,0.0032613333333333,999.29333496,0.917525187871458,19568.0,3.12859803933963,1.0,0.880804620203602,89981.0
15101042,0.0006413333333333,928.99060059,0.882525152564737,3848.0,0.570129772617277,1.0,0.844511717730571,16180.0
15101043,0.0036323333333333,934.3772583,0.874595496150873,21794.0,3.22984837703852,1.0,0.832302915395818,90868.0
15101044,0.0030826666666666,1117.4720459,0.86890417538575,18496.0,3.33404817263296,1.0,0.840970032974599,92833.0
15101045,0.0024098333333333,1120.50805664,0.709603733616101,14459.0,2.63939751259456,1.0,0.693615363417809,72993.0
15101046,0.0030838333333333,1052.94799805,0.91562889687993,18503.0,3.14416978744772,1.0,0.886599861138457,85556.0
15101047,0.0028623333333333,978.54803467,0.854566566997326,17174.0,2.7002721758195,1.0,0.823855569839584,73626.0
15101048,0.0003433333333333,886.574646,0.64696531981366,2060.0,0.292840467759594,1.0,0.622416096832508,7917.0
15101049,0.003109,826.18267822,0.898558522032506,18654.0,2.44977827824629,1.0,0.856991155026613,66163.0
15101050,0.0029435,752.28668213,0.930667125087145,17661.0,2.1195504492976,1.0,0.890821556142258,57360.0
15101051,0.003088,704.97467041,0.868356001054682,18528.0,2.10445093060227,1.0,0.839432556617942,56451.0
15102004,0.0003175,1104.44274902,0.84465340806669,1905.0,0.350512173119185,1.0,0.84429595040657,10487.0
15102006,0.0038873333333333,1043.94128418,0.864100472911105,23324.0,3.89546745160175,1.0,0.829460993737929,113382.0
15102007,0.003387,1209.11071777,0.883904754830005,20322.0,3.94127514624232,1.0,0.85066968697265,111909.0
15102008,0.0030421666666666,1233.32800293,0.893834092139411,18253.0,3.62282276510898,1.0,0.8630628192551,102049.0
15102009,0.003016,1150.47473145,0.911946393506459,18096.0,3.35066749179236,1.0,0.88062745397019,92405.0
15102010,0.0031136666666666,1014.39196777,0.906432872734759,18682.0,3.04104737906872,1.0,0.872732028879355,83407.0
15102011,0.0031286666666666,939.24804688,0.896162068117726,18772.0,2.81821703177964,1.0,0.85945154569514,76315.0
