run,sampled_lumi_VPDMB,prescale_VPDMB,lifetime_VPDMB,nevents_VPDMB,sampled_lumi_JP2,prescale_JP2,lifetime_JP2,nevents_JP2,JP2_weight
13064003,2.57037148391117e-07,11750.59960938,0.854824188060014,6425.0,0.0260282175198457,1.0,0.872176776798045,82372.0,935.1499731811036
13064004,2.58137681610609e-07,11375.40039062,0.870559224247486,6453.0,0.0251743182477943,1.0,0.880945387170391,78284.0,948.8684641066844
13064005,1.01917650117848e-07,11205.59960938,0.759645519672601,2547.0,0.0098550169287532,1.0,0.77352257109631,29519.0,984.5197085446229
13064006,3.96083858498832e-08,11036.59960938,0.776269080040202,990.0,0.0037800784124819,1.0,0.788990825688073,11446.0,970.2338126782403
13064012,1.21935534368995e-07,28425.0,0.832129653482289,3049.0,0.0258001874173654,1.0,0.852077123695976,91967.0,964.9699402794654
13064014,2.6871867675183e-07,24631.59960938,1.0,6524.0,0.0477522970425,1.0,1.0,167185.0,961.1900341035087
13064020,2.62154928336977e-07,20198.19921875,0.829606280588771,6553.0,0.0415916204000716,1.0,0.85165316055586,135405.0,1003.4802955866334
13064021,2.60749782076523e-07,19318.59960938,0.882834856732588,6519.0,0.0399429338424588,1.0,0.903869873573851,129374.0,996.6348195216319
13064022,2.39298762786425e-07,18261.59960938,0.841589734669264,5982.0,0.0349694210629224,1.0,0.859161984910488,111885.0,996.753988529299
13064023,2.57382694059029e-07,17392.59960938,0.840368667907269,6435.0,0.0361623662149011,1.0,0.860314112462807,114572.0,1000.050085609177
13064024,3.91459527057606e-07,16734.80078125,0.886271437754476,9786.0,0.0534327838331005,1.0,0.907421761457223,168959.0,992.4002487742904
13064025,3.50738061543401e-07,15877.0,1.0,8562.0,0.043906176415,1.0,1.0,139451.0,974.8146230575614
13064026,2.28162738982549e-07,15267.79980469,0.881348474735249,5704.0,0.0288997661695698,1.0,0.8994221796496,87702.0,1013.3568603722046
13064028,2.63029247043333e-07,14246.79980469,0.826541905435503,6575.0,0.031090310855099,1.0,0.830853481224806,95728.0,983.6342901506185
