run,sampled_lumi_MB,prescale_MB,livetime_MB,nevents_MB,sampled_lumi_JP2,prescale_JP2,livetime_JP2,nevents_JP2,JP2_weight
13053027,3.96068e-05,87.39974213,0.900817469747142,990170.0,0.0291011215390032,1.0,0.89931092183088,77688.0,1112.0877119331947
13053028,4.024496e-05,85.14070892,0.837813270785737,1006124.0,0.0288217807463962,1.0,0.834140248485652,75772.0,1125.5683224217973
13053029,1.801532e-05,81.95514679,0.85257829504392,450383.0,0.0124684538296359,1.0,0.807921137138732,32737.0,1068.4496024277316
13054010,2.483092e-05,240.56265259,0.915669869699762,620773.0,0.0467767460033473,1.0,0.911850466157214,120871.0,1230.3356513849556
13054023,8.76424e-06,105.0869751,0.90742610149276,219106.0,0.0078753103682292,1.0,0.906732378649805,19531.0,1178.0033855368088
13054043,2.904668e-05,193.89753723,0.911601326966105,726167.0,0.0414836172438834,1.0,0.910488183675187,119496.0,1176.8599921828672
13054044,3.103256e-05,171.97210693,0.905743510269017,775814.0,0.0398847068317141,1.0,0.903909154037825,111002.0,1199.5113847986286
13054050,1.193128e-05,132.41625977,1.0,298282.0,0.01136213102125,1.0,1.0,31566.0,1251.2635999719682
13054056,1.5576e-07,126.90994263,0.0138306022715811,3894.0,0.0001399203511376,1.0,0.0129047487901798,732.0,629.9251908864086
13054058,2.961588e-05,124.42455292,0.879113725022347,740397.0,0.0283672610726246,1.0,0.87015595463138,73949.0,1233.0777742722817
13054060,3.448112e-05,111.65499115,0.86224468669032,862028.0,0.0302800833068365,1.0,0.860491786690053,76830.0,1250.215512983527
13054061,3.523928e-05,104.73914337,0.891786988347342,880982.0,0.0292438256923171,1.0,0.889783684229533,74054.0,1243.2281565068906
13054062,3.58062e-05,100.95716858,0.891590406090717,895155.0,0.0290759772819152,1.0,0.889076081648599,73043.0,1233.759022912954
13054063,4.392456e-05,93.23719788,0.778462109945165,1098114.0,0.0334583747100202,1.0,0.778214652468753,84383.0,1212.951970820949
13054064,4.441088e-05,89.44550323,0.891565091083742,1110272.0,0.0323360361503873,1.0,0.889994600015429,81067.0,1222.8638698605416
13054065,4.511516e-05,84.68032837,0.858246156419184,1127879.0,0.0313172427205569,1.0,0.856446552828407,79161.0,1203.9880343659274
13054066,2.048888e-05,81.73968506,0.882141297865431,512222.0,0.0137580543361371,1.0,0.877341727166574,34897.0,1193.2562703233657
13054068,4.659844e-05,77.85690308,0.843573823382631,1164961.0,0.0300208481950953,1.0,0.840994567488508,72729.0,1243.2858492051223
13054069,4.701664e-05,74.62657928,0.872167729884896,1175416.0,0.0294706435268028,1.0,0.870625496760519,72574.0,1206.5225421277391
13054070,4.774052e-05,70.52972412,0.843187212998017,1193513.0,0.0284764792971697,1.0,0.841587694652126,70933.0,1184.4763010938939
13054071,4.196908e-05,67.01004028,0.854222154467207,1049227.0,0.023766749978766,1.0,0.842327391341669,59108.0,1172.9328915903106
13054083,1.695776e-05,401.75823975,0.861298003162616,423944.0,0.0513048448145848,1.0,0.86205713155614,148775.0,1145.8451621002423
13054084,2.085072e-05,308.26992798,0.848667264641402,521268.0,0.0489851441915232,1.0,0.846435663474348,134762.0,1189.2722383650355
13054085,2.381076e-05,255.31814575,0.881030981379767,595269.0,0.047022666451063,1.0,0.878240266932103,125819.0,1204.1230879368543
13055001,2.824156e-05,217.15266418,0.861452686392869,706039.0,0.0459491528260593,1.0,0.821811814229522,95739.0,1527.7275723980551
13055004,1.60896e-05,173.78787231,0.82756768277949,402240.0,0.0222439060308332,1.0,0.823801869057025,60807.0,1144.380357872989
13055006,2.688412e-05,151.62420654,0.85911292011898,672103.0,0.0327912592378957,1.0,0.855801898697315,88339.0,1149.1451585266861
13055007,2.773696e-05,141.19432068,0.829517535118139,693424.0,0.0317973214445561,1.0,0.828158255342721,85588.0,1142.0654241970292
13055008,2.884968e-05,133.32843018,0.852065263985653,721242.0,0.0316077023214034,1.0,0.854884083862092,83615.0,1153.862213260052
13055009,2.997528e-05,127.0605011,0.908133161867533,749382.0,0.0312555032944861,1.0,0.903959455903719,79332.0,1194.7164264785918
13055010,3.107356e-05,118.87779999,0.893769326831661,776839.0,0.0304888097747433,1.0,0.891492974783661,77019.0,1195.9867914796146
13055011,3.210316e-05,111.20101166,0.83066847621533,802579.0,0.0296929033364658,1.0,0.82960235309967,74197.0,1201.3026366389786
13055014,5.105e-06,100.81009674,0.563162479205938,127625.0,0.0041938281416368,1.0,0.546283095723014,11023.0,1132.2022897720283
13055016,3.412128e-05,92.98677826,0.831177695496602,853032.0,0.0267983298359951,1.0,0.828051966729787,69444.0,1137.929897963834
13055017,3.533996e-05,87.2251358,0.843922582144596,883499.0,0.026197659513478,1.0,0.842041187702639,65879.0,1167.162821838364
13055018,3.593572e-05,83.10948181,0.891068089759022,898393.0,0.0254238486052065,1.0,0.88782538307511,62782.0,1184.945711068349
13055019,3.646488e-05,80.66860962,0.844632277686091,911622.0,0.02515779941084,1.0,0.840301349449458,61175.0,1195.949324844683
13055020,3.713832e-05,77.48753357,0.855840260752284,928458.0,0.0247210710975671,1.0,0.852154945039278,59970.0,1194.4993203848387
13055021,3.770004e-05,75.05553436,0.855151992315088,942501.0,0.024440351981555,1.0,0.854210275584299,59407.0,1189.4560483108005
13055022,3.809476e-05,72.40496826,0.904819529769431,952369.0,0.0240300725729741,1.0,0.903344221496345,58309.0,1180.6721784535853
13055023,6.7168e-06,71.46490479,0.671932950604162,167920.0,0.0041675013879881,1.0,0.668342045302238,10242.0,1165.4222844752262
13055024,6.50936e-06,69.57241058,0.782386083572988,162734.0,0.0038943689279962,1.0,0.771397434822701,9483.0,1177.136086180553
13055034,2.414432e-05,201.90278625,0.83797266064583,603608.0,0.0351351917680091,1.0,0.837062977589019,101518.0,1199.1749019877996
13055035,3.537996e-05,146.4907074,0.847410738388741,884499.0,0.0376952670670251,1.0,0.846623062248513,105972.0,1221.553305270097
13055036,3.92394e-05,116.78955078,0.841539375499494,980985.0,0.033717637214795,1.0,0.840653071029625,98343.0,1163.7649275287267
13055037,4.280712e-05,97.18654633,0.876422108461488,1070178.0,0.030815580959885,1.0,0.874650837988827,88035.0,1179.0390559123066
13055038,4.61488e-05,83.43492889,0.849524146267616,1153720.0,0.0288335938664166,1.0,0.847535033013432,78735.0,1219.7263920277549
13055039,1.691148e-05,75.81123352,0.752585165612764,422787.0,0.009669806117332,1.0,0.748631145946246,27248.0,1170.1264471376483
13055068,2.287316e-05,272.18835449,0.887919988268976,571829.0,0.0468042566393042,1.0,0.885059726065786,126866.0,1222.8951312600473
13055069,2.484292e-05,239.3374939,0.845127330000282,621073.0,0.0451547936507496,1.0,0.843763610529998,118582.0,1251.5069420543448
13055070,5.29556e-06,210.47105408,0.848695262613488,132389.0,0.0085383674781111,1.0,0.848507173322993,22361.0,1245.8242967587082
13055071,2.798924e-05,200.00547791,0.835567325807484,699731.0,0.0433248414564202,1.0,0.83380163493455,111642.0,1250.91180450276
13055073,3.090112e-05,167.30015564,0.833612243826787,772528.0,0.0407310852825373,1.0,0.832321632796692,104430.0,1235.6981427219603
13055075,3.289492e-05,149.99066162,0.847734953471775,822373.0,0.0393136645035921,1.0,0.847123753283093,99085.0,1243.9757652243295
13055076,2.257024e-05,149.46517944,0.853211171021801,564256.0,0.0269336314025408,1.0,0.847612411974021,68191.0,1228.654934119571
13055080,3.48594e-05,125.99928284,0.83887387337331,871485.0,0.0360559198752872,1.0,0.836755105868065,94039.0,1164.720420847588
13056004,3.702e-06,246.39601135,0.75067468580996,92550.0,0.0069682063053254,1.0,0.736203509013822,21819.0,1024.9941016773655
13056005,2.858612e-05,132.19416809,0.829069854112662,714653.0,0.0294329561821844,1.0,0.828208337344758,86453.0,1091.6311580375302
13056007,1.823132e-05,111.89354706,0.777060746026092,455783.0,0.0158965759779961,1.0,0.775381530199517,45936.0,1107.8232357174627
13056008,2.678364e-05,103.79283142,0.800477360995569,669591.0,0.0217432785023443,1.0,0.799338993099794,63633.0,1090.6276748234748
13056017,1.836116e-05,345.88760376,0.874576874025789,459029.0,0.0465973239149739,1.0,0.87452387582156,167187.0,949.6122274219478
